RID,Location,Latitude,Longitude,Avgpassengersperday,Nooftrainspassing,Nooftrainsstopping,Noofplatforms,Nooftracks,Trainhaltingtime,Avgtrainspeed,Averageaccidentspermonth,population,PhysicalEnvironment,DateTime,admin_found,Label
173.222.150.38-10.42.0.211-443-46134-6,Shanghai,31.1667,121.4667,800,52,5,2,8,2,1.5,1,22120000,Station,01-11-22 21:01,Morning,1
10.42.0.211-95.213.11.181-53597-80-6,Guangzhou,23.1288,113.259,750,82,6,6,9,3,1.8,4,20902000,Platform,01-11-22 21:31,Evening,1
172.217.10.227-10.42.0.151-443-39420-6,Beijing,39.905,116.3914,999,6,89,8,10,2,1.9,10,19433000,Lineside,01-11-22 21:52,Mid Night,0
10.42.0.211-10.42.0.1-17679-53-17,Shenzhen,22.535,114.054,1200,74,42,10,7,4,1.2,15,15929000,Road,02-11-22 8:31,Evening,1
216.58.219.202-10.42.0.151-443-50639-6,Nanyang,32.9987,112.5292,1000,82,52,7,5,5,1.9,13,12010000,Other,02-11-22 8:57,Mid Night,0
10.42.0.42-62.138.0.117-51520-80-6,Chengdu,30.6636,104.0667,900,68,65,5,3,6,1.4,18,11309000,Footbridge,02-11-22 9:01,Evening,0
10.42.0.151-52.84.136.83-55290-80-6,Linyi,35.0606,118.3425,1600,13,85,6,7,7,1.6,22,10820000,Platform,02-11-22 9:05,Mid Night,1
172.217.6.194-10.42.0.151-443-42114-6,Tianjin,39.1467,117.2056,2000,18,32,3,2,2,1.8,28,10800000,Road,02-11-22 9:07,Mid Night,1
172.217.10.106-10.42.0.42-443-42339-6,Shijiazhuang,38.0422,114.5086,6500,85,45,5,2,2,1.7,36,10784600,Bride,02-11-22 9:14,Evening,0
157.240.2.15-10.42.0.151-443-57931-6,Baoding,38.8671,115.4845,5200,48,68,8,6,3,1.3,25,10700000,Escalator,02-11-22 9:18,Mid Night,1
10.42.0.211-27.221.28.142-41063-80-6,Zhoukou,33.625,114.6418,824,85,75,9,8,8,1.2,18,9901000,Stairs,02-11-22 9:19,Mid Night,0
10.42.0.42-54.239.26.255-33591-443-6,Weifang,36.7167,119.1,9999,68,12,10,7,10,1.6,96,9373000,Pedestrain,02-11-22 9:29,Evening,1
10.42.0.151-10.42.0.1-1904-53-17,Wuhan,30.5872,114.2881,8560,78,15,7,6,5,1.9,18,8962000,Station,02-11-22 9:32,Mid Night,0
203.205.144.184-10.42.0.151-80-58581-6,Heze,35.2333,115.4333,7852,95,75,5,5,6,1.8,18,8750000,Road Vehicle Carriageway,02-11-22 9:39,Mid Night,1
10.42.0.211-10.42.0.1-59741-53-17,Ganzhou,25.8292,114.9336,1458,84,62,3,8,8,1.5,18,8677600,Road,02-11-22 9:45,Evening,0
10.42.0.151-10.42.0.1-42416-53-17,Tongshan,34.261,117.1859,1500,12,6,7,9,9,1.8,39,8669000,Station,02-11-22 9:46,Mid Night,0
10.42.0.151-67.129.144.33-59312-80-6,Handan,36.6116,114.4894,800,89,8,2,7,2,1.9,14,8499000,Platform,02-11-22 9:57,Mid Night,0
10.42.0.211-52.84.143.39-58310-80-6,Fuyang,32.8986,115.8045,952,78,9,2,5,4,1.2,19,8360000,Lineside,02-11-22 9:59,Evening,0
10.42.0.211-54.192.38.18-60893-443-6,Jining,35.4,116.5667,741,10,8,6,4,5,1.9,17,8023000,Road,02-11-22 10:04,Mid Night,0
172.217.6.228-10.42.0.211-443-44828-6,Dongguan,23.0475,113.7493,890,60,75,8,6,8,1.4,19,7981000,Other,02-11-22 10:11,Mid Night,1
203.205.179.170-10.42.0.211-80-57775-6,Chongqing,29.55,106.5069,900,86,42,7,5,3,1.6,17,7739000,Footbridge,02-11-22 10:16,Evening,1
172.217.6.237-10.42.0.151-443-50455-6,Changchun,43.9,125.2,850,35,42,6,8,9,1.8,36,7674439,Platform,02-11-22 10:20,Mid Night,0
209.10.120.26-10.42.0.211-80-42920-6,Zhumadian,32.9773,114.0253,9058,85,52,5,2,2,1.7,95,7640000,Road,02-11-22 10:21,Mid Night,1
222.73.28.96-10.42.0.211-80-49079-6,Ningbo,29.875,121.5492,4795,95,85,8,9,3,1.3,15,7639000,Bride,02-11-22 10:30,Evening,0
8.0.6.4-8.6.0.1-0-0-0,Nanjing,32.05,118.7667,1569,26,75,9,10,2,1.2,18,7496000,Escalator,02-11-22 10:32,Mid Night,1
10.42.0.151-103.7.30.118-43685-80-6,Hefei,31.8639,117.2808,1785,85,25,7,8,4,1.6,19,7457027,Stairs,02-11-22 10:38,Morning,1
10.42.0.211-10.42.0.1-60086-53-17,Nantong,31.9829,120.8873,2658,32,8,5,7,5,1.9,17,7282835,Pedestrain,02-11-22 10:43,Evening,1
10.42.0.151-119.146.74.32-47079-443-6,Yancheng,33.3936,120.1339,7845,42,9,4,5,6,1.8,12,7260240,Station,02-11-22 10:46,Mid Night,1
169.47.5.231-10.42.0.211-443-57093-6,Foshan,23.0292,113.1056,9854,30,16,6,6,7,1.5,19,7194311,Road Vehicle Carriageway,02-11-22 10:51,Evening,1
10.42.0.211-123.125.46.161-49630-80-6,Nanning,22.8192,108.315,4785,80,75,5,5,2,1.8,19,7153300,Road,02-11-22 10:55,Mid Night,0
172.217.12.131-10.42.0.42-443-60868-6,Hengyang,26.8968,112.5857,5222,45,12,8,7,2,1.9,16,7148344,Bride,02-11-22 11:01,Evening,1
10.42.0.211-69.147.82.61-53732-443-6,Xiƒ??an,34.2667,108.9,4500,98,16,2,5,3,1.2,17,7135000,Escalator,02-11-22 11:02,Mid Night,0
